prop_min,prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.05,0.005555556,0.75,0.001333333,0.010666667,0.011111111,0.012
0.05,0.005555556,0.8,0.00125,0.01,0.011111111,0.01125
0.05,0.005555556,0.85,0.001176471,0.009411765,0.011111111,0.010588235
0.05,0.005555556,0.9,0.001111111,0.008888889,0.011111111,0.01
0.05,0.005555556,0.95,0.001052632,0.008421053,0.011111111,0.009473684
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0,0.011111111,0
0.05,0.005555556,0.1,0.01,0.02,0.011111111,0.03
0.05,0.005555556,0.15,0.013333333,0.026666667,0.011111111,0.04
0.05,0.005555556,0.2,0.015,0.02,0.011111111,0.035
0.05,0.005555556,0.25,0.012,0.028,0.011111111,0.04
0.05,0.005555556,0.3,0.01,0.033333333,0.011111111,0.043333333
0.05,0.005555556,0.35,0.011428571,0.028571429,0.011111111,0.04
0.05,0.005555556,0.4,0.01,0.025,0.011111111,0.035
0.05,0.005555556,0.45,0.008888889,0.022222222,0.011111111,0.031111111
0.05,0.005555556,0.5,0.008,0.02,0.011111111,0.028
0.05,0.005555556,0.55,0.007272727,0.018181818,0.011111111,0.025454545
0.05,0.005555556,0.6,0.006666667,0.016666667,0.011111111,0.023333333
0.05,0.005555556,0.65,0.006153846,0.015384615,0.011111111,0.021538462
0.05,0.005555556,0.7,0.005714286,0.014285714,0.011111111,0.02
0.05,0.005555556,0.75,0.005333333,0.013333333,0.011111111,0.018666667
0.05,0.005555556,0.8,0.005,0.0125,0.011111111,0.0175
0.05,0.005555556,0.85,0.004705882,0.011764706,0.011111111,0.016470588
0.05,0.005555556,0.9,0.004444444,0.011111111,0.011111111,0.015555556
0.05,0.005555556,0.95,0.004210526,0.010526316,0.011111111,0.014736842
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0,0.011111111,0
0.05,0.005555556,0.1,0,0,0.011111111,0
0.05,0.005555556,0.15,0,0.006666667,0.011111111,0.006666667
0.05,0.005555556,0.2,0,0.01,0.011111111,0.01
0.05,0.005555556,0.25,0,0.012,0.011111111,0.012
0.05,0.005555556,0.3,0,0.016666667,0.011111111,0.016666667
0.05,0.005555556,0.35,0.002857143,0.02,0.011111111,0.022857143
0.05,0.005555556,0.4,0.005,0.0225,0.011111111,0.0275
0.05,0.005555556,0.45,0.004444444,0.02,0.011111111,0.024444444
0.05,0.005555556,0.5,0.004,0.018,0.011111111,0.022
0.05,0.005555556,0.55,0.003636364,0.016363636,0.011111111,0.02
0.05,0.005555556,0.6,0.003333333,0.015,0.011111111,0.018333333
0.05,0.005555556,0.65,0.003076923,0.013846154,0.011111111,0.016923077
0.05,0.005555556,0.7,0.002857143,0.012857143,0.011111111,0.015714286
0.05,0.005555556,0.75,0.002666667,0.012,0.011111111,0.014666667
0.05,0.005555556,0.8,0.0025,0.01125,0.011111111,0.01375
0.05,0.005555556,0.85,0.002352941,0.010588235,0.011111111,0.012941176
0.05,0.005555556,0.9,0.002222222,0.01,0.011111111,0.012222222
0.05,0.005555556,0.95,0.002105263,0.009473684,0.011111111,0.011578947
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0,0.011111111,0
0.05,0.005555556,0.1,0.01,0.01,0.011111111,0.02
0.05,0.005555556,0.15,0.013333333,0.02,0.011111111,0.033333333
0.05,0.005555556,0.2,0.01,0.02,0.011111111,0.03
0.05,0.005555556,0.25,0.008,0.02,0.011111111,0.028
0.05,0.005555556,0.3,0.006666667,0.03,0.011111111,0.036666667
0.05,0.005555556,0.35,0.005714286,0.028571429,0.011111111,0.034285714
0.05,0.005555556,0.4,0.0075,0.0275,0.011111111,0.035
0.05,0.005555556,0.45,0.006666667,0.024444444,0.011111111,0.031111111
0.05,0.005555556,0.5,0.006,0.022,0.011111111,0.028
0.05,0.005555556,0.55,0.005454545,0.02,0.011111111,0.025454545
0.05,0.005555556,0.6,0.005,0.018333333,0.011111111,0.023333333
0.05,0.005555556,0.65,0.004615385,0.016923077,0.011111111,0.021538462
0.05,0.005555556,0.7,0.004285714,0.015714286,0.011111111,0.02
0.05,0.005555556,0.75,0.004,0.014666667,0.011111111,0.018666667
0.05,0.005555556,0.8,0.00375,0.01375,0.011111111,0.0175
0.05,0.005555556,0.85,0.003529412,0.012941176,0.011111111,0.016470588
0.05,0.005555556,0.9,0.003333333,0.012222222,0.011111111,0.015555556
0.05,0.005555556,0.95,0.003157895,0.011578947,0.011111111,0.014736842
0.05,0.005555556,1,0.006,0.044,0.011111111,0.05
0.05,0.005555556,0.05,0,0,0.011111111,0
0.05,0.005555556,0.1,0,0,0.011111111,0
0.05,0.005555556,0.15,0,0,0.011111111,0
0.05,0.005555556,0.2,0,0.005,0.011111111,0.005
0.05,0.005555556,0.25,0,0.008,0.011111111,0.008
0.05,0.005555556,0.3,0,0.01,0.011111111,0.01
0.05,0.005555556,0.35,0,0.022857143,0.011111111,0.022857143
0.05,0.005555556,0.4,0.0025,0.025,0.011111111,0.0275
0.05,0.005555556,0.45,0.002222222,0.022222222,0.011111111,0.024444444
0.05,0.005555556,0.5,0.002,0.02,0.011111111,0.022
0.05,0.005555556,0.55,0.001818182,0.018181818,0.011111111,0.02
0.05,0.005555556,0.6,0.001666667,0.016666667,0.011111111,0.018333333
0.05,0.005555556,0.65,0.001538462,0.015384615,0.011111111,0.016923077
0.05,0.005555556,0.7,0.001428571,0.014285714,0.011111111,0.015714286
