prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.16,0.0,0.16
0.0,0.1,0.0,0.15,0.0,0.15
0.0,0.15,0.0,0.16,0.0,0.16
0.0,0.2,0.0,0.165,0.0,0.165
0.0,0.25,0.0,0.16,0.0,0.16
0.0,0.3,0.0,0.18666666666666668,0.0,0.18666666666666668
0.0,0.35,0.0,0.20285714285714285,0.0,0.20285714285714285
0.0,0.4,0.0,0.1775,0.0,0.1775
0.0,0.45,0.0,0.15777777777777777,0.0,0.15777777777777777
0.0,0.5,0.0,0.142,0.0,0.142
0.0,0.55,0.0,0.1290909090909091,0.0,0.1290909090909091
0.0,0.6,0.0,0.11833333333333333,0.0,0.11833333333333333
0.0,0.65,0.0,0.10923076923076923,0.0,0.10923076923076923
0.0,0.7,0.0,0.10142857142857142,0.0,0.10142857142857142
0.0,0.75,0.0,0.09466666666666666,0.0,0.09466666666666666
0.0,0.8,0.0,0.08875,0.0,0.08875
0.0,0.85,0.0,0.08352941176470588,0.0,0.08352941176470588
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.16,0.0,0.16
0.0,0.1,0.0,0.2,0.0,0.2
0.0,0.15,0.0,0.14666666666666667,0.0,0.14666666666666667
0.0,0.2,0.0,0.145,0.0,0.145
0.0,0.25,0.0,0.148,0.0,0.148
0.0,0.3,0.0,0.16,0.0,0.16
0.0,0.35,0.0,0.1657142857142857,0.0,0.1657142857142857
0.0,0.4,0.0,0.165,0.0,0.165
0.0,0.45,0.0,0.14666666666666667,0.0,0.14666666666666667
0.0,0.5,0.0,0.132,0.0,0.132
0.0,0.55,0.0,0.12,0.0,0.12
0.0,0.6,0.0,0.11,0.0,0.11
0.0,0.65,0.0,0.10153846153846154,0.0,0.10153846153846154
0.0,0.7,0.0,0.09428571428571429,0.0,0.09428571428571429
0.0,0.75,0.0,0.088,0.0,0.088
0.0,0.8,0.0,0.0825,0.0,0.0825
0.0,0.85,0.0,0.07764705882352942,0.0,0.07764705882352942
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.1,0.0,0.1
0.0,0.1,0.0,0.15,0.0,0.15
0.0,0.15,0.0,0.11333333333333333,0.0,0.11333333333333333
0.0,0.2,0.0,0.13,0.0,0.13
