prop_min,prop_ally,avg_rank_M,avg_rank_m,avg_rank_a
0.2,0.16666666666666666,316.5993690851735,899.5,716.1204819277109
0.2,0.2,299.52,899.5,699.44
0.2,0.2,299.50166666666667,899.5,699.495
0.2,0.2,299.50166666666667,899.5,699.495
0.2,0.23333333333333334,283.0,899.5,683.0
0.2,0.23333333333333334,283.0,899.5,683.0
0.2,0.23333333333333334,283.0,899.5,683.0
0.2,0.26666666666666666,266.5,899.5,666.5
0.2,0.26666666666666666,266.5,899.5,666.5
0.2,0.26666666666666666,266.5,899.5,666.5
0.2,0.3,249.5,899.495,649.5033333333333
0.2,0.3,249.5,899.46,649.5266666666666
0.2,0.3,249.5,899.31,649.6266666666667
0.25,0.0,374.5,874.5,
0.25,0.0,374.5,874.5,
0.25,0.0,374.5,874.5,
