prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k,iter
0.033,0.052,0.15,0.043333333333333335,0.013333333333333334,5
0.033,0.052,0.2,0.0425,0.0125,5
0.033,0.052,0.25,0.038,0.016,5
0.033,0.052,0.3,0.041666666666666664,0.013333333333333334,5
0.033,0.052,0.35,0.04285714285714286,0.018571428571428572,5
0.033,0.052,0.4,0.0425,0.0175,5
0.033,0.052,0.45,0.044444444444444446,0.017777777777777778,5
0.033,0.052,0.5,0.045,0.018,5
0.033,0.052,0.55,0.05272727272727273,0.02181818181818182,5
0.033,0.052,0.6,0.04833333333333333,0.02,5
0.033,0.052,0.65,0.04461538461538461,0.018461538461538463,5
0.033,0.052,0.7,0.041428571428571426,0.017142857142857144,5
0.033,0.052,0.75,0.03866666666666667,0.016,5
0.033,0.052,0.8,0.03625,0.015,5
0.033,0.052,0.85,0.03411764705882353,0.01411764705882353,5
0.033,0.052,0.9,0.03222222222222222,0.013333333333333334,5
0.033,0.052,0.95,0.030526315789473683,0.01263157894736842,5
0.033,0.052,1.0,0.0515,0.033,5
0.162,0.284,0.05,0.24,0.31,7
0.162,0.284,0.1,0.28,0.245,7
0.162,0.284,0.15,0.27666666666666667,0.20333333333333334,7
0.162,0.284,0.2,0.275,0.2125,7
0.162,0.284,0.25,0.282,0.216,7
0.162,0.284,0.3,0.275,0.22,7
0.162,0.284,0.35,0.27285714285714285,0.21142857142857144,7
0.162,0.284,0.4,0.27,0.20125,7
0.162,0.284,0.45,0.2722222222222222,0.2,7
0.162,0.284,0.5,0.275,0.192,7
0.162,0.284,0.55,0.2781818181818182,0.18818181818181817,7
0.162,0.284,0.6,0.255,0.1725,7
0.162,0.284,0.65,0.2353846153846154,0.15923076923076923,7
0.162,0.284,0.7,0.21857142857142858,0.14785714285714285,7
0.162,0.284,0.75,0.204,0.138,7
0.162,0.284,0.8,0.19125,0.129375,7
0.162,0.284,0.85,0.22588235294117648,0.12176470588235294,7
0.162,0.284,0.9,0.2688888888888889,0.115,7
0.162,0.284,0.95,0.2984210526315789,0.11789473684210526,7
0.162,0.284,1.0,0.2835,0.162,7
0.157,0.181,0.05,0.16,0.18,7
0.157,0.181,0.1,0.22,0.145,7
0.157,0.181,0.15,0.2,0.15666666666666668,7
0.157,0.181,0.2,0.1875,0.16,7
0.157,0.181,0.25,0.2,0.168,7
0.157,0.181,0.3,0.19166666666666668,0.17666666666666667,7
0.157,0.181,0.35,0.18714285714285714,0.17714285714285713,7
0.157,0.181,0.4,0.18375,0.175,7
0.157,0.181,0.45,0.18222222222222223,0.17333333333333334,7
0.157,0.181,0.5,0.185,0.173,7
0.157,0.181,0.55,0.1809090909090909,0.16454545454545455,7
0.157,0.181,0.6,0.16583333333333333,0.15083333333333335,7
0.157,0.181,0.65,0.15307692307692308,0.13923076923076924,7
0.157,0.181,0.7,0.14214285714285715,0.12928571428571428,7
0.157,0.181,0.75,0.13266666666666665,0.12066666666666667,7
0.157,0.181,0.8,0.124375,0.113125,7
0.157,0.181,0.85,0.11705882352941177,0.10647058823529412,7
0.157,0.181,0.9,0.16277777777777777,0.10055555555555555,7
0.157,0.181,0.95,0.19,0.11210526315789474,7
0.157,0.181,1.0,0.1805,0.1565,7
0.020,0.309,0.05,0.27,0.07,8
0.020,0.309,0.1,0.315,0.065,8
0.020,0.309,0.15,0.31,0.056666666666666664,8
0.020,0.309,0.2,0.3,0.0475,8
0.020,0.309,0.25,0.294,0.044,8
0.020,0.309,0.3,0.29333333333333333,0.041666666666666664,8
0.020,0.309,0.35,0.3,0.03571428571428571,8
0.020,0.309,0.4,0.3025,0.03125,8
0.020,0.309,0.45,0.31222222222222223,0.028888888888888888,8
0.020,0.309,0.5,0.303,0.028,8
0.020,0.309,0.55,0.3054545454545455,0.02727272727272727,8
0.020,0.309,0.6,0.2808333333333333,0.025,8
0.020,0.309,0.65,0.2592307692307692,0.023076923076923078,8
0.020,0.309,0.7,0.24071428571428571,0.02142857142857143,8
0.020,0.309,0.75,0.22466666666666665,0.02,8
0.020,0.309,0.8,0.210625,0.01875,8
0.020,0.309,0.85,0.19823529411764707,0.01764705882352941,8
0.020,0.309,0.9,0.23777777777777778,0.016666666666666666,8
0.020,0.309,0.95,0.27789473684210525,0.015789473684210527,8
0.020,0.309,1.0,0.3095,0.0195,8
0.098,0.361,0.05,0.28,0.19,1
0.098,0.361,0.1,0.34,0.155,1
0.098,0.361,0.15,0.37,0.13333333333333333,1
0.098,0.361,0.2,0.3575,0.1275,1
0.098,0.361,0.25,0.36,0.122,1
0.098,0.361,0.3,0.3516666666666667,0.12333333333333334,1
0.098,0.361,0.35,0.35714285714285715,0.11571428571428571,1
0.098,0.361,0.4,0.35875,0.10875,1
0.098,0.361,0.45,0.3466666666666667,0.1111111111111111,1
0.098,0.361,0.5,0.347,0.107,1
0.098,0.361,0.55,0.3490909090909091,0.10545454545454545,1
0.098,0.361,0.6,0.32,0.09666666666666666,1
0.098,0.361,0.65,0.2953846153846154,0.08923076923076922,1
0.098,0.361,0.7,0.2742857142857143,0.08285714285714285,1
0.098,0.361,0.75,0.256,0.07733333333333334,1
0.098,0.361,0.8,0.251875,0.0725,1
0.098,0.361,0.85,0.2958823529411765,0.06823529411764706,1
0.098,0.361,0.9,0.335,0.06444444444444444,1
0.098,0.361,0.95,0.37,0.061052631578947365,1
0.098,0.361,1.0,0.361,0.0985,1
0.242,0.000,0.05,0.0,0.11,4
0.242,0.000,0.1,0.0,0.135,4
0.242,0.000,0.15,0.0,0.14333333333333334,4
0.242,0.000,0.2,0.0,0.155,4
0.242,0.000,0.25,0.0,0.17,4
0.242,0.000,0.3,0.0,0.17166666666666666,4
0.242,0.000,0.35,0.0,0.17714285714285713,4
0.242,0.000,0.4,0.0,0.18875,4
0.242,0.000,0.45,0.0,0.20222222222222222,4
0.242,0.000,0.5,0.0,0.205,4
0.242,0.000,0.55,0.0,0.2190909090909091,4
0.242,0.000,0.6,0.0,0.20166666666666666,4
0.242,0.000,0.65,0.0,0.18615384615384614,4
0.242,0.000,0.7,0.0,0.17285714285714285,4
0.242,0.000,0.75,0.0,0.16133333333333333,4
0.242,0.000,0.8,0.0,0.15125,4
0.242,0.000,0.85,0.0,0.1423529411764706,4
0.242,0.000,0.9,0.0,0.15777777777777777,4
0.242,0.000,0.95,0.0,0.20210526315789473,4
0.242,0.000,1.0,0.0,0.242,4
0.032,0.284,0.05,0.33,0.07,8
0.032,0.284,0.1,0.33,0.06,8
0.032,0.284,0.15,0.3,0.05333333333333334,8
0.032,0.284,0.2,0.29,0.0525,8
0.032,0.284,0.25,0.29,0.048,8
0.032,0.284,0.3,0.28833333333333333,0.043333333333333335,8
0.032,0.284,0.35,0.29714285714285715,0.04285714285714286,8
0.032,0.284,0.4,0.2925,0.04375,8
0.032,0.284,0.45,0.2877777777777778,0.044444444444444446,8
0.032,0.284,0.5,0.284,0.042,8
0.032,0.284,0.55,0.2918181818181818,0.03909090909090909,8
0.032,0.284,0.6,0.2675,0.035833333333333335,8
0.032,0.284,0.65,0.2469230769230769,0.03307692307692308,8
0.032,0.284,0.7,0.2292857142857143,0.030714285714285715,8
0.032,0.284,0.75,0.214,0.028666666666666667,8
0.032,0.284,0.8,0.200625,0.026875,8
0.032,0.284,0.85,0.1888235294117647,0.025294117647058825,8
0.032,0.284,0.9,0.21555555555555556,0.02388888888888889,8
0.032,0.284,0.95,0.25684210526315787,0.022631578947368423,8
0.032,0.284,1.0,0.2835,0.032,8
0.230,0.026,0.05,0.03,0.14,4
0.230,0.026,0.1,0.02,0.14,4
0.230,0.026,0.15,0.02,0.16666666666666666,4
0.230,0.026,0.2,0.02,0.1875,4
0.230,0.026,0.25,0.022,0.18,4
0.230,0.026,0.3,0.021666666666666667,0.19333333333333333,4
0.230,0.026,0.35,0.022857142857142857,0.2042857142857143,4
0.230,0.026,0.4,0.02625,0.21125,4
0.230,0.026,0.45,0.027777777777777776,0.21333333333333335,4
0.230,0.026,0.5,0.027,0.213,4
0.230,0.026,0.55,0.026363636363636363,0.22272727272727272,4
0.230,0.026,0.6,0.024166666666666666,0.205,4
0.230,0.026,0.65,0.022307692307692306,0.18923076923076923,4
0.230,0.026,0.7,0.020714285714285713,0.1757142857142857,4
0.230,0.026,0.75,0.019333333333333334,0.164,4
0.230,0.026,0.8,0.018125,0.15375,4
0.230,0.026,0.85,0.017058823529411765,0.14470588235294118,4
0.230,0.026,0.9,0.028888888888888888,0.1438888888888889,4
0.230,0.026,0.95,0.02736842105263158,0.18894736842105264,4
0.230,0.026,1.0,0.026,0.2295,4
0.043,0.413,0.05,0.34,0.12,8
0.043,0.413,0.1,0.355,0.09,8
0.043,0.413,0.15,0.36666666666666664,0.08333333333333333,8
0.043,0.413,0.2,0.3775,0.075,8
0.043,0.413,0.25,0.408,0.064,8
0.043,0.413,0.3,0.4066666666666667,0.06333333333333334,8
0.043,0.413,0.35,0.4114285714285714,0.06142857142857143,8
0.043,0.413,0.4,0.40875,0.06,8
0.043,0.413,0.45,0.4088888888888889,0.057777777777777775,8
0.043,0.413,0.5,0.405,0.055,8
0.043,0.413,0.55,0.4018181818181818,0.05090909090909091,8
0.043,0.413,0.6,0.36833333333333335,0.04666666666666667,8
0.043,0.413,0.65,0.34,0.043076923076923075,8
0.043,0.413,0.7,0.3157142857142857,0.04,8
0.043,0.413,0.75,0.2946666666666667,0.037333333333333336,8
0.043,0.413,0.8,0.28375,0.035,8
0.043,0.413,0.85,0.32588235294117646,0.03294117647058824,8
0.043,0.413,0.9,0.36333333333333334,0.03111111111111111,8
0.043,0.413,0.95,0.3968421052631579,0.029473684210526315,8
0.043,0.413,1.0,0.4125,0.0425,8
0.303,0.026,0.05,0.04,0.21,6
0.303,0.026,0.1,0.04,0.235,6
0.303,0.026,0.15,0.03,0.26,6
0.303,0.026,0.2,0.025,0.2775,6
0.303,0.026,0.25,0.022,0.286,6
0.303,0.026,0.3,0.021666666666666667,0.28833333333333333,6
0.303,0.026,0.35,0.02142857142857143,0.29428571428571426,6
0.303,0.026,0.4,0.02375,0.28625,6
0.303,0.026,0.45,0.024444444444444446,0.28555555555555556,6
0.303,0.026,0.5,0.025,0.295,6
0.303,0.026,0.55,0.022727272727272728,0.2863636363636364,6
0.303,0.026,0.6,0.020833333333333332,0.2625,6
0.303,0.026,0.65,0.019230769230769232,0.2423076923076923,6
0.303,0.026,0.7,0.017857142857142856,0.225,6
0.303,0.026,0.75,0.016666666666666666,0.21,6
0.303,0.026,0.8,0.015625,0.196875,6
0.303,0.026,0.85,0.025294117647058825,0.18529411764705883,6
0.303,0.026,0.9,0.028888888888888888,0.22555555555555556,6
0.303,0.026,0.95,0.02736842105263158,0.26631578947368423,6
0.303,0.026,1.0,0.026,0.303,6
0.287,0.052,0.05,0.03,0.24,8
0.287,0.052,0.1,0.045,0.235,8
0.287,0.052,0.15,0.04666666666666667,0.23666666666666666,8
0.287,0.052,0.2,0.0475,0.2475,8
0.287,0.052,0.25,0.048,0.26,8
0.287,0.052,0.3,0.05,0.26166666666666666,8
0.287,0.052,0.35,0.05142857142857143,0.27285714285714285,8
0.287,0.052,0.4,0.04875,0.28375,8
0.287,0.052,0.45,0.05333333333333334,0.28444444444444444,8
0.287,0.052,0.5,0.054,0.285,8
0.287,0.052,0.55,0.05545454545454546,0.28454545454545455,8
0.287,0.052,0.6,0.051666666666666666,0.2633333333333333,8
0.287,0.052,0.65,0.047692307692307694,0.24307692307692308,8
0.287,0.052,0.7,0.04428571428571428,0.2257142857142857,8
0.287,0.052,0.75,0.04133333333333333,0.21066666666666667,8
0.287,0.052,0.8,0.03875,0.1975,8
0.287,0.052,0.85,0.036470588235294116,0.18588235294117647,8
0.287,0.052,0.9,0.05722222222222222,0.20777777777777778,8
0.287,0.052,0.95,0.05421052631578947,0.24947368421052632,8
0.287,0.052,1.0,0.0515,0.287,8
0.241,0.052,0.05,0.05,0.18,4
0.241,0.052,0.1,0.06,0.175,4
0.241,0.052,0.15,0.056666666666666664,0.20333333333333334,4
0.241,0.052,0.2,0.0475,0.205,4
0.241,0.052,0.25,0.042,0.218,4
0.241,0.052,0.3,0.041666666666666664,0.20666666666666667,4
0.241,0.052,0.35,0.04428571428571428,0.21428571428571427,4
0.241,0.052,0.4,0.04375,0.22375,4
0.241,0.052,0.45,0.04111111111111111,0.2311111111111111,4
0.241,0.052,0.5,0.041,0.229,4
0.241,0.052,0.55,0.04181818181818182,0.23636363636363636,4
0.241,0.052,0.6,0.03833333333333333,0.21666666666666667,4
0.241,0.052,0.65,0.03538461538461538,0.2,4
0.241,0.052,0.7,0.032857142857142856,0.18571428571428572,4
0.241,0.052,0.75,0.030666666666666665,0.17333333333333334,4
0.241,0.052,0.8,0.02875,0.1625,4
0.241,0.052,0.85,0.027058823529411764,0.15294117647058825,4
0.241,0.052,0.9,0.05722222222222222,0.15666666666666668,4
0.241,0.052,0.95,0.05421052631578947,0.20105263157894737,4
0.241,0.052,1.0,0.0515,0.241,4
0.048,0.309,0.05,0.26,0.12,6
0.048,0.309,0.1,0.34,0.1,6
0.048,0.309,0.15,0.32666666666666666,0.08666666666666667,6
0.048,0.309,0.2,0.3275,0.0775,6
0.048,0.309,0.25,0.332,0.078,6
0.048,0.309,0.3,0.31333333333333335,0.07666666666666666,6
0.048,0.309,0.35,0.3142857142857143,0.07285714285714286,6
0.048,0.309,0.4,0.31875,0.0675,6
0.048,0.309,0.45,0.31444444444444447,0.06444444444444444,6
0.048,0.309,0.5,0.314,0.06,6
0.048,0.309,0.55,0.3054545454545455,0.056363636363636366,6
0.048,0.309,0.6,0.28,0.051666666666666666,6
0.048,0.309,0.65,0.25846153846153846,0.047692307692307694,6
0.048,0.309,0.7,0.24,0.04428571428571428,6
0.048,0.309,0.75,0.224,0.04133333333333333,6
0.048,0.309,0.8,0.21,0.03875,6
0.048,0.309,0.85,0.2076470588235294,0.036470588235294116,6
0.048,0.309,0.9,0.25166666666666665,0.034444444444444444,6
0.048,0.309,0.95,0.2910526315789474,0.03263157894736842,6
0.048,0.309,1.0,0.3095,0.048,6
0.043,0.335,0.05,0.28,0.09,9
0.043,0.335,0.1,0.3,0.06,9
0.043,0.335,0.15,0.31666666666666665,0.05333333333333334,9
0.043,0.335,0.2,0.3225,0.06,9
0.043,0.335,0.25,0.318,0.06,9
0.043,0.335,0.3,0.32666666666666666,0.051666666666666666,9
0.043,0.335,0.35,0.32285714285714284,0.05285714285714286,9
0.043,0.335,0.4,0.33375,0.0525,9
0.043,0.335,0.45,0.3477777777777778,0.05333333333333334,9
0.043,0.335,0.5,0.342,0.051,9
0.043,0.335,0.55,0.3390909090909091,0.05181818181818182,9
0.043,0.335,0.6,0.31083333333333335,0.0475,9
0.043,0.335,0.65,0.28692307692307695,0.04384615384615385,9
0.043,0.335,0.7,0.2664285714285714,0.04071428571428572,9
0.043,0.335,0.75,0.24866666666666667,0.038,9
0.043,0.335,0.8,0.233125,0.035625,9
0.043,0.335,0.85,0.23470588235294118,0.033529411764705884,9
0.043,0.335,0.9,0.2772222222222222,0.03166666666666667,9
0.043,0.335,0.95,0.31526315789473686,0.03,9
0.043,0.335,1.0,0.3355,0.0425,9
0.157,0.258,0.05,0.21,0.21,2
0.157,0.258,0.1,0.22,0.215,2
0.157,0.258,0.15,0.22,0.19666666666666666,2
0.157,0.258,0.2,0.2175,0.195,2
0.157,0.258,0.25,0.222,0.186,2
0.157,0.258,0.3,0.235,0.175,2
0.157,0.258,0.35,0.23714285714285716,0.17285714285714285,2
0.157,0.258,0.4,0.24125,0.17625,2
0.157,0.258,0.45,0.24,0.17666666666666667,2
0.157,0.258,0.5,0.24,0.173,2
0.157,0.258,0.55,0.24,0.17181818181818181,2
0.157,0.258,0.6,0.22,0.1575,2
0.157,0.258,0.65,0.20307692307692307,0.1453846153846154,2
0.157,0.258,0.7,0.18857142857142858,0.135,2
0.157,0.258,0.75,0.176,0.126,2
0.157,0.258,0.8,0.165,0.118125,2
0.157,0.258,0.85,0.2,0.1111764705882353,2
0.157,0.258,0.9,0.24444444444444444,0.105,2
0.157,0.258,0.95,0.27157894736842103,0.11210526315789474,2
0.157,0.258,1.0,0.258,0.1565,2
0.022,0.464,0.05,0.42,0.06,0
0.022,0.464,0.1,0.41,0.05,0
0.022,0.464,0.15,0.41,0.04666666666666667,0
0.022,0.464,0.2,0.445,0.0425,0
0.022,0.464,0.25,0.446,0.042,0
0.022,0.464,0.3,0.43333333333333335,0.03666666666666667,0
0.022,0.464,0.35,0.44142857142857145,0.032857142857142856,0
0.022,0.464,0.4,0.44875,0.03,0
0.022,0.464,0.45,0.4488888888888889,0.02666666666666667,0
0.022,0.464,0.5,0.444,0.026,0
0.022,0.464,0.55,0.4481818181818182,0.024545454545454544,0
0.022,0.464,0.6,0.41083333333333333,0.0225,0
0.022,0.464,0.65,0.3792307692307692,0.02076923076923077,0
0.022,0.464,0.7,0.35214285714285715,0.019285714285714285,0
0.022,0.464,0.75,0.32866666666666666,0.018,0
0.022,0.464,0.8,0.34125,0.016875,0
0.022,0.464,0.85,0.38,0.01588235294117647,0
0.022,0.464,0.9,0.41444444444444445,0.015,0
0.022,0.464,0.95,0.44526315789473686,0.014210526315789474,0
0.022,0.464,1.0,0.464,0.0225,0
0.048,0.387,0.05,0.35,0.12,8
0.048,0.387,0.1,0.365,0.11,8
0.048,0.387,0.15,0.37,0.09,8
0.048,0.387,0.2,0.375,0.0825,8
0.048,0.387,0.25,0.372,0.074,8
0.048,0.387,0.3,0.375,0.06666666666666667,8
0.048,0.387,0.35,0.37285714285714283,0.06428571428571428,8
0.048,0.387,0.4,0.3725,0.06125,8
0.048,0.387,0.45,0.37777777777777777,0.06111111111111111,8
0.048,0.387,0.5,0.386,0.062,8
0.048,0.387,0.55,0.36818181818181817,0.05818181818181818,8
0.048,0.387,0.6,0.3375,0.05333333333333334,8
0.048,0.387,0.65,0.31153846153846154,0.04923076923076923,8
0.048,0.387,0.7,0.2892857142857143,0.045714285714285714,8
0.048,0.387,0.75,0.27,0.042666666666666665,8
0.048,0.387,0.8,0.25375,0.04,8
0.048,0.387,0.85,0.29764705882352943,0.03764705882352941,8
0.048,0.387,0.9,0.33666666666666667,0.035555555555555556,8
0.048,0.387,0.95,0.37157894736842106,0.03368421052631579,8
0.048,0.387,1.0,0.387,0.048,8
0.091,0.335,0.05,0.34,0.24,5
0.091,0.335,0.1,0.325,0.18,5
0.091,0.335,0.15,0.3333333333333333,0.14333333333333334,5
0.091,0.335,0.2,0.3175,0.13,5
0.091,0.335,0.25,0.332,0.116,5
0.091,0.335,0.3,0.3416666666666667,0.105,5
