hc,prop_covert,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k,overt_inequity_score
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.17777777777777778,0.02,0.0,0.8888888888888888,0.02,0.0
0.0,0.17777777777777778,0.0,0.0,0.8888888888888888,0.0,0.0
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.02,0.0,1.0,0.02,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.0,0.2,0.0,0.0,1.0,0.0,
0.1111111111111111,0.0,0.0,0.06,0.0,0.06,0.3
0.1111111111111111,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.1111111111111111,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.1111111111111111,0.0,0.0,0.14,0.0,0.14,0.7000000000000001
0.1111111111111111,0.0,0.0,0.06,0.0,0.06,0.3
0.1111111111111111,0.0,0.0,0.02,0.0,0.02,0.09999999999999999
0.1111111111111111,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.1111111111111111,0.0,0.0,0.16,0.0,0.16,0.7999999999999999
0.1111111111111111,0.0,0.0,0.1,0.0,0.1,0.5
0.1111111111111111,0.0,0.0,0.08,0.0,0.08,0.39999999999999997
0.1111111111111111,0.022222222222222223,0.02,0.06,0.1111111111111111,0.08,0.33749999999999997
0.1111111111111111,0.022222222222222223,0.04,0.16,0.1111111111111111,0.2,0.9
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.02,0.04,0.1111111111111111,0.06,0.225
0.1111111111111111,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.1111111111111111,0.022222222222222223,0.0,0.08,0.1111111111111111,0.08,0.45
0.1111111111111111,0.022222222222222223,0.04,0.12,0.1111111111111111,0.16,0.6749999999999999
0.1111111111111111,0.022222222222222223,0.0,0.04,0.1111111111111111,0.04,0.225
0.1111111111111111,0.022222222222222223,0.04,0.06,0.1111111111111111,0.1,0.33749999999999997
0.1111111111111111,0.044444444444444446,0.06,0.06,0.2222222222222222,0.12,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.04,0.16,0.2222222222222222,0.2,1.0285714285714285
0.1111111111111111,0.044444444444444446,0.0,0.06,0.2222222222222222,0.06,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.02,0.06,0.2222222222222222,0.08,0.3857142857142857
0.1111111111111111,0.044444444444444446,0.0,0.04,0.2222222222222222,0.04,0.2571428571428571
0.1111111111111111,0.044444444444444446,0.0,0.08,0.2222222222222222,0.08,0.5142857142857142
